,0
external_urls,{'spotify': 'https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb'}
followers,"{'href': None, 'total': 5760053}"
genres,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
href,https://api.spotify.com/v1/artists/4Z8W4fKeB5YxbusRsdQVPb
id,4Z8W4fKeB5YxbusRsdQVPb
images,"[{'height': 640, 'url': 'https://i.scdn.co/image/afcd616e1ef2d2786f47b3b4a8a6aeea24a72adc', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/563754af10b3d9f9f62a3458e699f58c4a02870f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/4067ea225d8b42fa6951857d3af27dd07d60f3c6', 'width': 160}]"
name,Radiohead
popularity,80
type,artist
uri,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb
