,album_group,album_type,artists,external_urls,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri
0,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4'}, 'href': 'https://api.spotify.com/v1/artists/2DaxqgrOhkeH0fpeiQq2f4', 'id': '2DaxqgrOhkeH0fpeiQq2f4', 'name': 'Oasis', 'type': 'artist', 'uri': 'spotify:artist:2DaxqgrOhkeH0fpeiQq2f4'}]",{'spotify': 'https://open.spotify.com/album/75KnF13DIx7GXfz5IesWtT'},https://api.spotify.com/v1/albums/75KnF13DIx7GXfz5IesWtT,75KnF13DIx7GXfz5IesWtT,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a42d5a90727767ada79f3d85', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a42d5a90727767ada79f3d85', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a42d5a90727767ada79f3d85', 'width': 64}]",Dig Out Your Soul,2008-10-06,day,11,album,spotify:album:75KnF13DIx7GXfz5IesWtT
1,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4'}, 'href': 'https://api.spotify.com/v1/artists/2DaxqgrOhkeH0fpeiQq2f4', 'id': '2DaxqgrOhkeH0fpeiQq2f4', 'name': 'Oasis', 'type': 'artist', 'uri': 'spotify:artist:2DaxqgrOhkeH0fpeiQq2f4'}]",{'spotify': 'https://open.spotify.com/album/0tkTdt8CfAE9H9MGGLQWYm'},https://api.spotify.com/v1/albums/0tkTdt8CfAE9H9MGGLQWYm,0tkTdt8CfAE9H9MGGLQWYm,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273628d9b48ac20405db36dc670', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02628d9b48ac20405db36dc670', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851628d9b48ac20405db36dc670', 'width': 64}]",Don't Believe The Truth,2005-05-30,day,11,album,spotify:album:0tkTdt8CfAE9H9MGGLQWYm
2,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4'}, 'href': 'https://api.spotify.com/v1/artists/2DaxqgrOhkeH0fpeiQq2f4', 'id': '2DaxqgrOhkeH0fpeiQq2f4', 'name': 'Oasis', 'type': 'artist', 'uri': 'spotify:artist:2DaxqgrOhkeH0fpeiQq2f4'}]",{'spotify': 'https://open.spotify.com/album/56VuARmradZgJcSaVucTWn'},https://api.spotify.com/v1/albums/56VuARmradZgJcSaVucTWn,56VuARmradZgJcSaVucTWn,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c9048a825ef38953951d01a4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c9048a825ef38953951d01a4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c9048a825ef38953951d01a4', 'width': 64}]",Don't Believe The Truth,2005-05-20,day,11,album,spotify:album:56VuARmradZgJcSaVucTWn
3,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4'}, 'href': 'https://api.spotify.com/v1/artists/2DaxqgrOhkeH0fpeiQq2f4', 'id': '2DaxqgrOhkeH0fpeiQq2f4', 'name': 'Oasis', 'type': 'artist', 'uri': 'spotify:artist:2DaxqgrOhkeH0fpeiQq2f4'}]",{'spotify': 'https://open.spotify.com/album/6XhC5jFMDxZFSAlSGxTEpY'},https://api.spotify.com/v1/albums/6XhC5jFMDxZFSAlSGxTEpY,6XhC5jFMDxZFSAlSGxTEpY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27349b6d51648f7f82f54865ffc', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0249b6d51648f7f82f54865ffc', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485149b6d51648f7f82f54865ffc', 'width': 64}]",Heathen Chemistry,2002-06-20,day,12,album,spotify:album:6XhC5jFMDxZFSAlSGxTEpY
4,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4'}, 'href': 'https://api.spotify.com/v1/artists/2DaxqgrOhkeH0fpeiQq2f4', 'id': '2DaxqgrOhkeH0fpeiQq2f4', 'name': 'Oasis', 'type': 'artist', 'uri': 'spotify:artist:2DaxqgrOhkeH0fpeiQq2f4'}]",{'spotify': 'https://open.spotify.com/album/4mMan8IGNJUhZ6du15ki5T'},https://api.spotify.com/v1/albums/4mMan8IGNJUhZ6du15ki5T,4mMan8IGNJUhZ6du15ki5T,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f687135853a4488b2178d0bf', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f687135853a4488b2178d0bf', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f687135853a4488b2178d0bf', 'width': 64}]",Heathen Chemistry,2002-02-03,day,12,album,spotify:album:4mMan8IGNJUhZ6du15ki5T
5,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4'}, 'href': 'https://api.spotify.com/v1/artists/2DaxqgrOhkeH0fpeiQq2f4', 'id': '2DaxqgrOhkeH0fpeiQq2f4', 'name': 'Oasis', 'type': 'artist', 'uri': 'spotify:artist:2DaxqgrOhkeH0fpeiQq2f4'}]",{'spotify': 'https://open.spotify.com/album/2q8yJngaPuNmcsGyo1oYto'},https://api.spotify.com/v1/albums/2q8yJngaPuNmcsGyo1oYto,2q8yJngaPuNmcsGyo1oYto,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737a3861e1512367b5aef3bc8c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027a3861e1512367b5aef3bc8c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517a3861e1512367b5aef3bc8c', 'width': 64}]",Familiar To Millions - The Highlights,2000-11-13,day,13,album,spotify:album:2q8yJngaPuNmcsGyo1oYto
6,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4'}, 'href': 'https://api.spotify.com/v1/artists/2DaxqgrOhkeH0fpeiQq2f4', 'id': '2DaxqgrOhkeH0fpeiQq2f4', 'name': 'Oasis', 'type': 'artist', 'uri': 'spotify:artist:2DaxqgrOhkeH0fpeiQq2f4'}]",{'spotify': 'https://open.spotify.com/album/1GUKGLuFUcVBBfOVHpMaPD'},https://api.spotify.com/v1/albums/1GUKGLuFUcVBBfOVHpMaPD,1GUKGLuFUcVBBfOVHpMaPD,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736943a572c3e1c0f50f5f97a4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026943a572c3e1c0f50f5f97a4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516943a572c3e1c0f50f5f97a4', 'width': 64}]",Familiar To Millions,2000-11-01,day,18,album,spotify:album:1GUKGLuFUcVBBfOVHpMaPD
7,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4'}, 'href': 'https://api.spotify.com/v1/artists/2DaxqgrOhkeH0fpeiQq2f4', 'id': '2DaxqgrOhkeH0fpeiQq2f4', 'name': 'Oasis', 'type': 'artist', 'uri': 'spotify:artist:2DaxqgrOhkeH0fpeiQq2f4'}]",{'spotify': 'https://open.spotify.com/album/22ZTL8tB7bhhAVrLJBIO9H'},https://api.spotify.com/v1/albums/22ZTL8tB7bhhAVrLJBIO9H,22ZTL8tB7bhhAVrLJBIO9H,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731cdbcf0fd527f1d6d60aeb4e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021cdbcf0fd527f1d6d60aeb4e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511cdbcf0fd527f1d6d60aeb4e', 'width': 64}]",Standing on the Shoulder of Giants,2000-02-28,day,10,album,spotify:album:22ZTL8tB7bhhAVrLJBIO9H
8,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4'}, 'href': 'https://api.spotify.com/v1/artists/2DaxqgrOhkeH0fpeiQq2f4', 'id': '2DaxqgrOhkeH0fpeiQq2f4', 'name': 'Oasis', 'type': 'artist', 'uri': 'spotify:artist:2DaxqgrOhkeH0fpeiQq2f4'}]",{'spotify': 'https://open.spotify.com/album/6F2iD5c7Aca3E0wmmPhgax'},https://api.spotify.com/v1/albums/6F2iD5c7Aca3E0wmmPhgax,6F2iD5c7Aca3E0wmmPhgax,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ce2be7cd7f7d3b3280faae02', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ce2be7cd7f7d3b3280faae02', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ce2be7cd7f7d3b3280faae02', 'width': 64}]",Standing On The Shoulder Of Giants,2000-02-28,day,10,album,spotify:album:6F2iD5c7Aca3E0wmmPhgax
9,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4'}, 'href': 'https://api.spotify.com/v1/artists/2DaxqgrOhkeH0fpeiQq2f4', 'id': '2DaxqgrOhkeH0fpeiQq2f4', 'name': 'Oasis', 'type': 'artist', 'uri': 'spotify:artist:2DaxqgrOhkeH0fpeiQq2f4'}]",{'spotify': 'https://open.spotify.com/album/00hodZxXjxj2OZ7WYKbLiT'},https://api.spotify.com/v1/albums/00hodZxXjxj2OZ7WYKbLiT,00hodZxXjxj2OZ7WYKbLiT,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27303acca78975dbc02289ee7d2', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0203acca78975dbc02289ee7d2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485103acca78975dbc02289ee7d2', 'width': 64}]",Standing On The Shoulder Of Giants,2000-02-28,day,10,album,spotify:album:00hodZxXjxj2OZ7WYKbLiT
